,Movie_Number,Movie_Name,Year_of_Release,IMDB_Rating,Number_of_Votes,Genres,rating,year,id,imdbid,noun_count_male,noun_count_female,verb_count_male,verb_count_female,adjective_count_male,adjective_count_female
15,m24,bachelor party,1984,5.9,14050,"['comedy', 'romance']",3,1984,6309,86927.0,2.48297213622,1.97452229299,2.52321981424,2.00636942675,0.637770897833,0.382165605096
16,m28,barry lyndon,1975,8.1,40622,"['drama', 'romance', 'war']",1,1975,2317,72684.0,2.33796296296,1.90163934426,2.44907407407,2.35245901639,0.574074074074,0.524590163934
17,m29,basic,2003,6.3,26295,"['crime', 'drama', 'mystery', 'thriller']",3,2003,5567,264395.0,2.5562403698,2.62068965517,2.61941448382,2.55172413793,0.571648690293,0.413793103448
18,m30,big fish,2003,8.1,144264,"['adventure', 'drama', 'fantasy']",1,2003,2402,319061.0,2.07462686567,2.28057553957,2.44776119403,2.43165467626,0.503731343284,0.467625899281
19,m34,blade runner,1982,8.3,188735,"['drama', 'sci-fi', 'thriller']",1,1982,234,83658.0,2.31319910515,2.36170212766,2.37136465324,2.48936170213,0.541387024609,0.404255319149
20,m35,blast from the past,1999,6.4,23489,"['comedy', 'drama', 'romance']",3,1999,5342,124298.0,2.25697674419,2.25833333333,2.47209302326,2.2,0.606976744186,0.491666666667
21,m36,blue velvet,1986,7.8,54576,"['crime', 'mystery', 'thriller']",1,1986,2662,90756.0,2.26442307692,2.34798534799,2.49038461538,2.77655677656,0.576923076923,0.673992673993
22,m40,braveheart,1995,8.4,245652,"['action', 'biography', 'drama', 'history', 'war']",2,1995,205,112573.0,2.44949494949,2.85542168675,2.42929292929,3.51807228916,0.646464646465,0.698795180723
23,m42,casablanca,1942,8.8,170874,"['drama', 'romance', 'war']",1,1942,1076,34583.0,2.23956442831,2.25088339223,2.53720508167,2.63604240283,0.553539019964,0.611307420495
24,m43,cast away,2000,7.5,104477,"['adventure', 'drama']",2,2000,3795,162222.0,2.16533333333,3.6,2.22933333333,2.92,0.536,0.64
25,m47,dark star,1974,6.5,8303,"['comedy', 'sci-fi', 'thriller']",0,1974,1814,69945.0,2.73958333333,0.0,2.80208333333,0.0,0.638888888889,0.0
26,m50,donnie darko,2001,8.3,215194,"['drama', 'mystery', 'sci-fi']",3,2001,887,246578.0,2.29583333333,2.13636363636,2.59375,2.04545454545,0.564583333333,0.818181818182
27,m51,drop dead gorgeous,1999,6.3,16417,"['comedy', 'adult']",3,1999,1844,157503.0,2.58536585366,2.21509433962,1.87804878049,2.71698113208,0.585365853659,0.505660377358
28,m52,duck soup,1933,8.1,27112,"['comedy', 'musical']",1,1933,5185,23969.0,2.33554817276,2.3,2.58471760797,2.3,0.611295681063,0.55
29,m55,eternal sunshine of the spotless mind,2004,8.5,224838,"['drama', 'romance', 'sci-fi']",2,2004,133,338013.0,1.96590909091,2.41411042945,2.44886363636,2.5536809816,0.579545454545,0.569018404908
30,m56,even cowgirls get the blues,1993,4.0,3947,"['comedy', 'drama', 'romance', 'western']",3,1993,1790,106834.0,2.28409090909,2.88888888889,2.53409090909,3.25396825397,0.534090909091,0.650793650794
31,m57,event horizon,1997,6.4,45497,"['horror', 'mystery', 'mystery', 'sci-fi', 'sci-fi']",3,1997,662,119081.0,2.58192090395,2.37142857143,2.74764595104,2.87142857143,0.630885122411,0.528571428571
32,m58,fantastic four,2005,5.7,72581,"['action', 'adventure', 'fantasy', 'sci-fi', 'fantasy']",1,2005,2541,120667.0,2.20551378446,2.01960784314,2.28571428571,2.74509803922,0.428571428571,0.490196078431
33,m58,fantastic four,2005,5.7,72581,"['action', 'adventure', 'fantasy', 'sci-fi', 'fantasy']",0,2015,6392,1502712.0,2.20551378446,2.01960784314,2.28571428571,2.74509803922,0.428571428571,0.490196078431
34,m59,fast times at ridgemont high,1982,7.2,31710,"['comedy', 'drama', 'romance']",2,1982,1934,83929.0,2.18567639257,2.60377358491,2.58090185676,2.75,0.485411140584,0.575471698113
35,m60,fear and loathing in las vegas,1998,7.6,82748,"['drama', 'fantasy']",1,1998,506,120669.0,2.00609756098,1.75,2.24085365854,2.05,0.560975609756,0.525
36,m62,frances,1982,7.2,2756,"['biography', 'drama']",3,1982,4844,83967.0,2.20603015075,2.42830188679,2.67336683417,2.54339622642,0.542713567839,0.554716981132
37,m63,frankenstein,1931,8.0,23522,"['drama', 'horror', 'sci-fi']",1,1931,1317,21884.0,1.83333333333,2.6028708134,2.31818181818,2.83253588517,0.606060606061,0.674641148325
38,m64,friday the 13th,2009,5.6,27499,['horror'],3,1980,4569,80761.0,2.1862745098,2.25954198473,2.05882352941,2.51908396947,0.56862745098,0.465648854962
39,m64,friday the 13th,2009,5.6,27499,['horror'],2,2009,4570,758746.0,2.1862745098,2.25954198473,2.05882352941,2.51908396947,0.56862745098,0.465648854962
40,m65,from dusk till dawn,1996,7.1,81559,"['action', 'crime', 'horror', 'thriller']",1,1996,448,116367.0,2.23056994819,2.20967741935,2.39637305699,2.5,0.632124352332,0.596774193548
41,m66,g.i. jane,1997,5.6,24068,"['action', 'drama']",3,1997,524,119173.0,2.23417721519,2.64411764706,2.41772151899,2.55882352941,0.639240506329,0.635294117647
42,m67,godzilla,1998,4.9,60310,"['action', 'horror', 'sci-fi', 'thriller']",3,1998,2238,120685.0,2.39664804469,3.11111111111,2.58659217877,3.03968253968,0.597765363128,0.619047619048
43,m67,godzilla,1998,4.9,60310,"['action', 'horror', 'sci-fi', 'thriller']",2,2014,5466,831387.0,2.39664804469,3.11111111111,2.58659217877,3.03968253968,0.597765363128,0.619047619048
44,m68,galaxy quest,1999,7.2,53004,"['action', 'adventure', 'comedy', 'sci-fi']",1,1999,1053,177789.0,2.04849884527,2.08510638298,2.21247113164,2.78723404255,0.528868360277,0.560283687943
45,m72,ghost world,2001,7.7,43550,"['comedy', 'drama']",3,2001,226,162346.0,2.54054054054,2.048298573,2.91891891892,2.33150384193,0.567567567568,0.530186608123
46,m74,ghostbusters ii,1989,6.1,45450,"['action', 'adventure', 'comedy', 'fantasy', 'sci-fi', 'action', 'adventure', 'comedy', 'sci-fi']",2,1989,1540,97428.0,2.28523489933,2.14,2.57718120805,2.41,0.590604026846,0.53
47,m75,ghostbusters,1986,6.9,237,"['animation', 'comedy', 'fantasy', 'sci-fi', 'horror']",2,1984,376,87332.0,2.27177700348,2.18562874251,2.26132404181,2.4251497006,0.578397212544,0.48502994012
48,m75,ghostbusters,1986,6.9,237,"['animation', 'comedy', 'fantasy', 'sci-fi', 'horror']",3,2016,6977,1289401.0,2.27177700348,2.18562874251,2.26132404181,2.4251497006,0.578397212544,0.48502994012
49,m76,gladiator,2000,8.4,286067,"['action', 'adventure', 'drama']",0,2000,1163,172495.0,2.0838150289,2.22580645161,2.33815028902,2.09677419355,0.552023121387,0.483870967742
50,m78,grand hotel,1932,7.7,6088,"['drama', 'romance']",3,1932,1328,22958.0,2.22909698997,2.2094017094,2.52508361204,2.43162393162,0.591973244147,0.679487179487
51,m80,halloween h20: 20 years later,1998,5.4,22353,"['drama', 'horror', 'thriller']",3,1998,4709,120694.0,2.64670658683,2.46808510638,2.66467065868,2.86170212766,0.658682634731,0.606382978723
52,m84,harold and maude,1971,8.1,28689,"['comedy', 'romance']",3,1971,2159,67185.0,2.11157894737,2.07272727273,2.39789473684,2.27272727273,0.524210526316,0.4
53,m85,hellbound: hellraiser ii,1988,6.2,11273,"['drama', 'horror', 'thriller']",1,1988,5261,95294.0,0.0,2.15517241379,0.0,2.30172413793,0.0,0.5
54,m86,hellboy,2004,6.8,68619,"['action', 'adventure', 'fantasy']",1,2004,4338,167190.0,2.45714285714,2.41228070175,2.66285714286,2.39473684211,0.72,0.605263157895
55,m87,hellraiser,1987,7.0,22922,['horror'],3,1987,3582,93177.0,2.16402116402,2.41692789969,2.34391534392,2.59247648903,0.566137566138,0.608150470219
56,m88,high fidelity,2000,7.6,70464,"['comedy', 'drama', 'music', 'romance']",2,2000,1006,146882.0,2.32894736842,2.28828828829,2.44210526316,2.52252252252,0.623684210526,0.608108108108
57,m89,highlander,1986,7.2,41243,"['action', 'fantasy']",3,1986,1604,91203.0,2.29508196721,2.29360465116,2.4262295082,2.63081395349,0.603278688525,0.558139534884
58,m90,his girl friday,1940,8.1,20870,"['comedy', 'drama', 'romance']",3,1940,3033,32599.0,2.28319502075,2.28648648649,2.34024896266,2.47567567568,0.550829875519,0.6
59,m91,hope and glory,1987,7.4,4965,"['drama', 'war']",3,1987,7035,93209.0,1.8078817734,2.34,2.16748768473,2.86,0.571428571429,0.75
60,m92,house of 1000 corpses,2003,5.6,27033,['horror'],3,2003,7512,251736.0,2.06639004149,2.19623655914,2.2489626556,2.51612903226,0.477178423237,0.602150537634
61,m93,human nature,2001,6.3,10017,"['comedy', 'drama']",3,2001,1459,219822.0,2.40322580645,2.41463414634,2.77419354839,2.75203252033,0.645161290323,0.626016260163
62,m95,i am legend,2007,7.1,156084,"['drama', 'sci-fi', 'thriller']",3,2007,549,480249.0,2.04166666667,2.20547945205,1.625,2.43835616438,0.25,0.698630136986
63,m97,independence day,1996,6.6,151698,"['action', 'adventure', 'sci-fi', 'thriller']",3,1996,444,116629.0,2.52422907489,2.04166666667,2.3127753304,2.48333333333,0.621145374449,0.55
64,m98,indiana jones and the last crusade,1989,8.3,174947,"['action', 'adventure', 'thriller', 'action', 'adventure', 'fantasy']",0,1989,1049,97576.0,2.34011627907,2.39189189189,2.72093023256,3.24324324324,0.604651162791,0.716216216216
65,m99,indiana jones and the temple of doom,1984,7.5,112054,"['action', 'adventure']",0,1984,1048,87469.0,2.2789968652,2.57777777778,2.44514106583,2.55555555556,0.507836990596,0.622222222222
66,m102,intolerable cruelty,2003,6.4,36739,"['comedy', 'romance', 'crime']",3,2003,5806,138524.0,2.68100358423,2.11970074813,2.83154121864,2.43142144638,0.663082437276,0.511221945137
67,m103,it happened one night,1934,8.3,25577,"['comedy', 'romance']",3,1934,621,25316.0,2.47787610619,2.25471698113,2.8982300885,2.56446540881,0.676991150442,0.600628930818
68,m104,jfk,1991,8.0,60406,"['biography', 'drama', 'history', 'mystery', 'thriller']",3,1991,7200,102138.0,2.15870786517,1.64285714286,2.40308988764,1.46428571429,0.508426966292,0.392857142857
69,m105,jackie brown,1997,7.6,85496,"['crime', 'drama', 'thriller']",3,1997,2176,119396.0,2.26,2.28915662651,2.58363636364,2.52710843373,0.614545454545,0.519578313253
70,m107,jason x,2001,4.4,18199,"['horror', 'sci-fi']",3,2001,93,211443.0,2.24937027708,2.41121495327,2.55667506297,2.28971962617,0.591939546599,0.794392523364
71,m108,jaws,1975,8.3,140982,['thriller'],3,1975,2561,73195.0,2.34190231362,2.08333333333,2.47557840617,2.58333333333,0.642673521851,0.833333333333
72,m109,juno,2007,7.9,152436,"['comedy', 'drama']",3,2007,9,467406.0,2.0,2.4918699187,2.18784530387,2.76219512195,0.574585635359,0.634146341463
73,m111,kids,1995,6.8,26546,"['crime', 'drama']",3,1995,5771,113540.0,2.58704453441,2.4,2.5991902834,2.57543859649,0.526315789474,0.561403508772
74,m113,krull,1983,5.9,8246,"['fantasy', 'action', 'adventure', 'sci-fi']",1,1983,6126,85811.0,2.43170731707,1.87323943662,2.50487804878,2.38028169014,0.592682926829,0.394366197183
75,m117,legally blonde,2001,6.2,44558,['comedy'],3,2001,733,250494.0,2.12056737589,2.24933687003,2.28368794326,2.6525198939,0.475177304965,0.546419098143
76,m118,legend,1985,6.2,20907,"['fantasy', 'adventure', 'romance']",3,1985,3986,89469.0,2.31274131274,0.0,2.5148005148,0.0,0.603603603604,0.0
77,m118,legend,1985,6.2,20907,"['fantasy', 'adventure', 'romance']",3,2015,6671,3569230.0,2.31274131274,0.0,2.5148005148,0.0,0.603603603604,0.0
78,m121,little nicky,2000,5.0,35489,"['fantasy', 'comedy', 'romance', 'animation', 'comedy', 'fantasy', 'horror']",1,2000,3471,185431.0,2.32853025937,2.55434782609,2.6023054755,2.65217391304,0.567723342939,0.836956521739
79,m123,lost highway,1997,7.6,42998,"['drama', 'horror', 'mystery', 'thriller']",1,1997,4154,116922.0,2.39845758355,2.28712871287,2.33933161954,2.0297029703,0.632390745501,0.376237623762
80,m124,lost horizon,1937,7.8,5509,"['adventure', 'drama', 'fantasy', 'mystery']",2,1937,1336,29162.0,2.37984496124,2.11111111111,2.64031007752,2.33333333333,0.531782945736,0.0
81,m125,men in black,1997,7.0,121719,"['action', 'adventure', 'comedy', 'sci-fi']",1,1997,83,119654.0,2.51891891892,2.43243243243,2.72162162162,2.2972972973,0.686486486486,0.432432432432
82,m126,minority report,2002,7.7,137009,"['action', 'crime', 'mystery', 'sci-fi', 'thriller', 'action', 'animation', 'drama', 'mystery', 'sci-fi', 'thriller']",1,2002,115,181689.0,2.2551369863,2.46464646465,2.41952054795,2.41414141414,0.494863013699,0.575757575758
83,m128,malcolm x,1992,7.7,23317,"['biography', 'drama', 'history']",3,1992,4391,104797.0,2.44736842105,2.3313253012,2.53947368421,2.3313253012,0.605263157895,0.584337349398
84,m130,marty,1955,7.7,6379,"['drama', 'romance']",3,1955,4442,48356.0,2.07522123894,2.11440677966,2.71681415929,2.45762711864,0.672566371681,0.53813559322
85,m132,meet john doe,1941,7.7,4841,"['comedy', 'drama', 'romance']",3,1941,3717,33891.0,2.23673469388,2.4456928839,2.37959183673,2.52434456929,0.636734693878,0.50936329588
86,m134,metropolis,1927,8.4,40730,"['adventure', 'drama', 'sci-fi']",1,1927,1267,17136.0,2.16393442623,2.02222222222,2.42076502732,1.98888888889,0.475409836066,0.444444444444
87,m137,monkeybone,2001,4.5,8258,"['animation', 'comedy', 'fantasy', 'romance']",3,2001,3616,166276.0,1.88095238095,2.35294117647,2.08333333333,2.30147058824,0.446428571429,0.639705882353
88,m139,mr. smith goes to washington,1939,8.4,33984,['drama'],2,1939,5946,31679.0,2.37777777778,2.14285714286,2.49888888889,2.35714285714,0.595555555556,0.285714285714
89,m140,mr. deeds goes to town,1936,8.0,7594,"['comedy', 'romance']",3,1936,1992,27996.0,2.469348659,2.29347826087,2.63793103448,2.55797101449,0.634099616858,0.605072463768
90,m143,mystery men,1999,5.9,31817,"['action', 'comedy', 'fantasy']",1,1999,4230,132347.0,2.16578947368,2.30612244898,2.39473684211,2.73469387755,0.581578947368,0.612244897959
91,m145,next friday,2000,5.4,10267,['comedy'],2,2000,7792,195945.0,2.47764705882,2.02083333333,2.44470588235,1.75,0.583529411765,0.354166666667
92,m146,nick of time,1995,6.2,15945,"['crime', 'drama', 'thriller']",3,1995,7651,113972.0,2.38043478261,2.22549019608,2.65579710145,2.25490196078,0.521739130435,0.5
93,m148,a nightmare on elm street,1984,7.4,47161,['horror'],3,1984,4182,87800.0,2.39393939394,2.0306122449,2.54545454545,2.19387755102,0.569696969697,0.418367346939
94,m148,a nightmare on elm street,1984,7.4,47161,['horror'],3,2010,6047,1179056.0,2.39393939394,2.0306122449,2.54545454545,2.19387755102,0.569696969697,0.418367346939
95,m149,ninotchka,1939,7.9,6951,"['comedy', 'romance']",3,1939,1259,31725.0,2.23253012048,2.19459459459,2.45301204819,2.4972972973,0.592771084337,0.545945945946
96,m151,no country for old men,2007,8.3,202649,"['crime', 'drama', 'mystery', 'thriller', 'western']",3,2007,686,477348.0,2.1581027668,2.26595744681,2.27075098814,2.56382978723,0.486166007905,0.542553191489
97,m153,"o brother, where art thou?",2000,7.8,95628,"['comedy', 'adventure', 'crime', 'music']",0,2000,3455,190590.0,2.20849420849,1.9298245614,2.56370656371,1.87719298246,0.65250965251,0.438596491228
98,m154,an officer and a gentleman,1982,6.8,16883,"['drama', 'romance']",3,1982,7244,84434.0,2.28333333333,2.10810810811,2.45416666667,2.88416988417,0.55,0.621621621622
99,m155,panic room,2002,6.9,69824,['thriller'],3,2002,2508,258000.0,2.07476635514,2.13846153846,2.55140186916,2.14615384615,0.602803738318,0.4
100,m162,pleasantville,1998,7.5,49669,"['comedy', 'drama', 'fantasy']",3,1998,1109,120789.0,2.43566176471,1.89344262295,2.57536764706,2.33606557377,0.582720588235,0.647540983607
101,m163,punch-drunk love,2002,7.4,50312,"['comedy', 'drama', 'romance']",1,2002,5227,272338.0,2.44704264099,1.89473684211,2.5598349381,2.57894736842,0.613480055021,0.421052631579
102,m166,raging bull,1980,8.4,91851,"['biography', 'drama', 'sport']",1,1980,1437,81398.0,2.49029126214,3.21052631579,2.70388349515,2.28947368421,0.587378640777,0.736842105263
103,m167,rear window,1954,8.7,121165,"['crime', 'mystery', 'romance', 'thriller']",3,1954,2132,47396.0,2.03993344426,0.0,2.22628951747,0.0,0.480865224626,0.0
104,m168,rebel without a cause,1955,7.9,27791,"['drama', 'romance']",1,1955,2926,48545.0,2.27821011673,2.3956043956,2.48054474708,2.53846153846,0.54280155642,0.505494505495
105,m170,reservoir dogs,1992,8.4,217185,"['crime', 'mystery', 'thriller']",0,1992,18,105236.0,2.18348623853,1.86206896552,2.58944954128,1.68965517241,0.559633027523,0.344827586207
106,m172,scary movie 2,2001,4.7,44511,['comedy'],3,2001,6429,257106.0,2.21568627451,1.87906976744,2.27843137255,2.40465116279,0.454901960784,0.516279069767
107,m173,serial mom,1994,6.4,11077,"['comedy', 'thriller']",3,1994,6477,111127.0,2.52,2.17419354839,2.86857142857,2.46451612903,0.582857142857,0.503225806452
108,m175,"sex, lies, and videotape",1989,7.1,18505,['drama'],2,1989,2065,98724.0,2.55555555556,2.23803680982,2.4126984127,2.42085889571,0.714285714286,0.534969325153
109,m177,shock treatment,1981,5.4,1884,"['comedy', 'musical']",3,1981,7732,83067.0,2.25925925926,2.29861111111,2.62345679012,2.68055555556,0.598765432099,0.5625
110,m178,sideways,2004,7.8,70349,"['comedy', 'drama', 'romance']",3,2004,2249,375063.0,2.42701863354,1.83798882682,2.49844720497,2.41899441341,0.551242236025,0.553072625698
111,m179,signs,2002,6.9,113119,"['drama', 'mystery', 'sci-fi', 'thriller']",1,2002,5170,286106.0,2.19758064516,1.25,2.38709677419,2.625,0.552419354839,0.25
112,m184,slither,2006,6.6,26497,"['comedy', 'horror', 'sci-fi']",3,2006,1702,439815.0,2.376,2.41428571429,2.256,2.67142857143,0.552,0.571428571429
113,m187,solaris,2002,6.2,33541,"['drama', 'mystery', 'romance', 'sci-fi']",1,2002,4784,307479.0,2.24863387978,0.0,2.42896174863,0.0,0.543715846995,0.0
114,m189,spider-man,2002,7.4,169898,"['action', 'adventure', 'fantasy', 'sci-fi', 'action', 'adventure', 'sci-fi', 'thriller']",1,2002,1730,145487.0,2.19047619048,2.18018018018,2.55026455026,2.31081081081,0.529100529101,0.608108108108
115,m190,stalag 17,1953,8.2,21182,"['drama', 'war']",0,1953,1883,46359.0,2.10456273764,1.65384615385,2.30038022814,2.0,0.623574144487,0.538461538462
116,m192,star trek iii: the search for spock,1984,6.5,22466,"['action', 'adventure', 'sci-fi', 'thriller']",1,1984,1304,88170.0,1.90660592255,0.0,2.41002277904,0.0,0.546697038724,0.0
117,m193,star trek: the wrath of khan,1982,7.8,36503,"['action', 'adventure', 'sci-fi', 'thriller']",3,1982,896,84726.0,2.49224806202,2.69,2.53682170543,2.83,0.573643410853,0.57
118,m195,star trek: insurrection,1998,6.3,26728,"['action', 'adventure', 'sci-fi', 'thriller']",3,1998,1056,120844.0,2.16195372751,2.54651162791,2.28791773779,2.43023255814,0.570694087404,0.639534883721
119,m196,star trek: first contact,1996,7.6,45429,"['action', 'adventure', 'sci-fi', 'thriller']",3,1996,3402,117731.0,2.46319018405,2.28865979381,2.73312883436,2.30927835052,0.699386503067,0.515463917526
120,m197,star trek vi: the undiscovered country,1991,7.2,23751,"['action', 'mystery', 'sci-fi', 'thriller']",2,1991,3592,102975.0,2.41472868217,0.0,2.66860465116,0.0,0.606589147287,0.0
121,m198,star trek: nemesis,2002,6.4,28682,"['action', 'sci-fi', 'thriller']",1,2002,138,253754.0,2.17391304348,2.03125,2.48240165631,1.98958333333,0.554865424431,0.510416666667
122,m199,starman,1984,6.9,14204,"['adventure', 'drama', 'romance', 'sci-fi']",0,1984,5796,88172.0,2.4635193133,2.20663265306,2.67381974249,2.4387755102,0.583690987124,0.602040816327
123,m200,strange days,1995,7.1,27744,"['action', 'crime', 'drama', 'fantasy', 'music', 'mystery', 'sci-fi', 'thriller']",3,1995,675,114558.0,2.34718826406,3.16666666667,2.61369193154,3.025,0.567237163814,0.758333333333
124,m202,swingers,1996,7.6,32427,"['comedy', 'drama']",2,1996,5413,117802.0,2.23493975904,2.35947712418,2.3765060241,2.73202614379,0.566265060241,0.627450980392
125,m205,taxi driver,1976,8.6,159525,"['drama', 'thriller']",1,1976,2223,75314.0,2.15662650602,2.13569321534,2.4578313253,2.58702064897,0.469879518072,0.563421828909
126,m218,thirteen days,2000,7.3,23732,"['drama', 'history', 'thriller']",1,2000,3551,146309.0,2.31847133758,2.17557251908,2.12738853503,2.32824427481,0.624203821656,0.519083969466
127,m220,top gun,1986,6.5,81087,"['action', 'drama', 'romance']",2,1986,1703,92099.0,2.05194805195,2.16465863454,2.17922077922,2.6265060241,0.498701298701,0.518072289157
128,m221,total recall,1990,7.4,71383,"['action', 'adventure', 'sci-fi', 'thriller']",1,1990,118,100802.0,2.04743083004,2.59722222222,2.59683794466,2.58796296296,0.577075098814,0.773148148148
129,m221,total recall,1990,7.4,71383,"['action', 'adventure', 'sci-fi', 'thriller']",1,2012,3535,1386703.0,2.04743083004,2.59722222222,2.59683794466,2.58796296296,0.577075098814,0.773148148148
130,m222,tremors,1990,7.1,30553,"['action', 'comedy', 'horror', 'thriller']",3,1990,1663,100814.0,2.0602006689,2.07692307692,2.07692307692,2.56923076923,0.581939799331,0.692307692308
131,m224,twin peaks: fire walk with me,1992,7.0,21274,"['drama', 'horror', 'mystery', 'thriller']",3,1992,2432,105665.0,2.33990147783,2.24338624339,2.47536945813,2.43915343915,0.573891625616,0.57671957672
132,m227,new nightmare,1994,6.3,14975,"['fantasy', 'horror', 'mystery', 'thriller']",3,1994,6029,111686.0,2.38036809816,2.2125984252,2.41717791411,2.32283464567,0.693251533742,0.488188976378
133,m229,wild at heart,1990,7.2,29388,"['crime', 'romance', 'thriller']",2,1990,2577,100935.0,2.59336099585,2.31433506045,2.52282157676,2.40587219344,0.601659751037,0.597582037997
134,m234,agnes of god,1985,6.5,3490,"['drama', 'mystery', 'thriller']",3,1985,602,88683.0,2.18181818182,2.27764423077,1.81818181818,2.39663461538,0.227272727273,0.552884615385
135,m236,alien,1979,8.5,184471,"['adventure', 'horror', 'sci-fi', 'thriller']",3,1979,13,78748.0,2.33124018838,0.0,2.61067503925,0.0,0.590266875981,0.0
136,m238,all about eve,1950,8.5,35597,['drama'],3,1950,139,42192.0,2.62162162162,2.4229390681,2.61049284579,2.62903225806,0.613672496025,0.612903225806
137,m240,american pie,1999,6.9,107961,"['comedy', 'romance']",2,1999,2311,163651.0,2.27845528455,2.41958041958,2.78455284553,2.53846153846,0.579268292683,0.608391608392
138,m241,an american werewolf in paris,1997,4.9,10158,"['horror', 'romance', 'thriller', 'comedy']",1,1997,7675,118604.0,1.83596214511,1.96551724138,2.09463722397,2.41379310345,0.460567823344,0.48275862069
139,m242,anastasia,1997,6.6,16844,"['animation', 'adventure', 'drama', 'family', 'musical', 'animation', 'family']",3,1997,1218,118617.0,2.36633663366,2.1835443038,2.30693069307,2.23417721519,0.554455445545,0.639240506329
140,m243,annie hall,1977,8.3,66781,"['comedy', 'drama', 'romance']",3,1977,1469,75686.0,2.15553235908,2.33333333333,2.45198329854,2.44086021505,0.535490605428,0.494623655914
141,m245,antz,1998,6.8,37825,"['animation', 'adventure', 'comedy', 'family']",3,1998,8088,120587.0,1.92134831461,2.2380952381,2.31460674157,2.33333333333,0.393258426966,0.489177489177
142,m247,apocalypse now,1979,8.6,176465,"['drama', 'war']",0,1979,2227,78788.0,2.13543599258,2.36363636364,2.41558441558,2.65454545455,0.552875695733,0.8
143,m248,arctic blue,1993,4.8,464,"['action', 'thriller']",1,1993,7055,106303.0,2.58302583026,2.24719101124,2.65682656827,2.59550561798,0.627306273063,0.52808988764
144,m249,as good as it gets,1997,7.8,93201,"['comedy', 'drama', 'romance']",3,1997,936,119822.0,2.20600858369,2.38348082596,2.30472103004,2.58407079646,0.587982832618,0.625368731563
145,m250,assassins,1995,6.0,23681,"['action', 'thriller', 'crime']",1,1995,4640,112401.0,2.15544041451,2.32178217822,2.48186528497,2.30198019802,0.575129533679,0.519801980198
146,m252,a walk to remember,2002,7.1,38751,"['drama', 'romance']",3,2002,5254,281358.0,2.40476190476,1.99230769231,2.5873015873,2.22820512821,0.555555555556,0.515384615385
147,m253,back to the future,1985,8.4,207376,"['adventure', 'family', 'sci-fi']",2,1985,149,88763.0,2.32222222222,1.51851851852,2.40740740741,1.88888888889,0.533333333333,0.351851851852
