,Character_Id,Character_Name,Movie_Number,Movie_Title,Gender,Position_in_Credits
74,u74,LISA,m4,48 hrs.,?,?
75,u75,LUTHER,m4,48 hrs.,?,?
76,u76,SOSNA,m4,48 hrs.,?,?
77,u77,YOUNG COP,m4,48 hrs.,?,?
78,u78,CORNELIUS,m5,the fifth element,m,3
79,u79,DAVID,m5,the fifth element,?,?
80,u80,DIVA,m5,the fifth element,?,?
81,u81,FINGER,m5,the fifth element,?,?
82,u82,GIRL,m5,the fifth element,?,?
83,u83,KOMMANDER,m5,the fifth element,?,?
84,u84,KORBEN,m5,the fifth element,m,1
85,u85,LEELOO,m5,the fifth element,f,4
86,u86,LOC RHOD,m5,the fifth element,?,?
87,u87,MACTILBURGH,m5,the fifth element,?,?
88,u88,MOTHER,m5,the fifth element,?,?
89,u89,MUGGER,m5,the fifth element,?,?
90,u90,MUNRO,m5,the fifth element,?,?
91,u91,PRESIDENT,m5,the fifth element,?,?
92,u92,PRIEST,m5,the fifth element,?,?
93,u93,PROFESSOR,m5,the fifth element,?,?
94,u94,SECRETARY,m5,the fifth element,?,?
95,u95,SHADOW,m5,the fifth element,?,?
96,u96,STAEDERT,m5,the fifth element,?,?
97,u97,THAI,m5,the fifth element,?,?
98,u98,VOICE,m5,the fifth element,?,?
99,u99,ZORG,m5,the fifth element,?,?
100,u100,AMY,m6,8mm,f,7
101,u101,ANGRY DEALER,m6,8mm,?,?
102,u102,DINO,m6,8mm,?,?
103,u103,DINO VELVET,m6,8mm,m,4
104,u104,DIRECTOR,m6,8mm,?,?
105,u105,EDDIE,m6,8mm,m,3
106,u106,LONGDALE,m6,8mm,m,5
107,u107,MALE VOICE,m6,8mm,?,?
108,u108,MAX,m6,8mm,m,2
109,u109,MRS CHRISTIAN,m6,8mm,M,?
110,u110,MRS MATHEWS,m6,8mm,M,?
111,u111,NUN,m6,8mm,?,?
112,u112,POLITICIAN,m6,8mm,?,?
113,u113,SALESPERSON,m6,8mm,?,?
114,u114,WELLES,m6,8mm,m,1
115,u115,ALICE,m7,a nightmare on elm street 4: the dream master,f,1
116,u116,DAN,m7,a nightmare on elm street 4: the dream master,m,3
117,u117,DEBBIE,m7,a nightmare on elm street 4: the dream master,?,?
118,u118,ELAINE,m7,a nightmare on elm street 4: the dream master,?,?
119,u119,KRISTEN,m7,a nightmare on elm street 4: the dream master,?,?
120,u120,NURSE,m7,a nightmare on elm street 4: the dream master,?,?
121,u121,RICK,m7,a nightmare on elm street 4: the dream master,?,?
122,u122,SHEILA,m7,a nightmare on elm street 4: the dream master,?,?
123,u123,ALICE,m8,a nightmare on elm street: the dream child,f,2
124,u124,ALICE'S DAD,m8,a nightmare on elm street: the dream child,?,?
125,u125,DAN,m8,a nightmare on elm street: the dream child,?,?
126,u126,GRETA,m8,a nightmare on elm street: the dream child,?,?
127,u127,JACOB,m8,a nightmare on elm street: the dream child,?,?
128,u128,MARK,m8,a nightmare on elm street: the dream child,m,7
129,u129,MRS. JORDAN,m8,a nightmare on elm street: the dream child,?,?
130,u130,YVONNE,m8,a nightmare on elm street: the dream child,f,3
131,u131,CARL,m9,the atomic submarine,m,3
132,u132,DAVE,m9,the atomic submarine,m,?
133,u133,GRIFF,m9,the atomic submarine,?,?
134,u134,KENT,m9,the atomic submarine,?,?
135,u135,REEF,m9,the atomic submarine,m,1
136,u136,SAUCER VOICE,m9,the atomic submarine,?,?
137,u137,SIR IAN,m9,the atomic submarine,?,?
138,u138,WENDOVER,m9,the atomic submarine,?,?
139,u139,ALMA,m10,affliction,f,7
140,u140,CHICK,m10,affliction,?,?
141,u141,HAND,m10,affliction,?,?
142,u142,JACK,m10,affliction,m,4
143,u143,JILL,m10,affliction,f,2
144,u144,LARIVIERE,m10,affliction,m,3
145,u145,LILLIAN,m10,affliction,?,?
146,u146,LUGENE,m10,affliction,?,?
147,u147,MARGIE,m10,affliction,f,11
148,u148,MEL GORDON,m10,affliction,?,?
149,u149,MRS. GORDON,m10,affliction,?,?
150,u150,NICK,m10,affliction,?,?
151,u151,POP,m10,affliction,?,?
152,u152,ROLFE,m10,affliction,m,21
153,u153,TWOMBLEY,m10,affliction,m,13
154,u154,WADE,m10,affliction,m,1
155,u155,ALICE,m11,air force one,?,?
156,u156,CERALLOS,m11,air force one,?,?
157,u157,CHIEF MECHANIC,m11,air force one,?,?
158,u158,COL. CARLTON,m11,air force one,?,?
159,u159,DEAN,m11,air force one,?,?
160,u160,DOHERTY,m11,air force one,?,?
161,u161,GENERAL NORTHWOOD,m11,air force one,?,?
162,u162,GIBBS,m11,air force one,?,?
163,u163,IRAQI SOLDIER,m11,air force one,?,?
164,u164,KC-135 PILOT,m11,air force one,?,?
165,u165,KC-LO PILOT,m11,air force one,?,?
166,u166,KORSHUNOV,m11,air force one,?,?
167,u167,LEE,m11,air force one,?,?
168,u168,MAJOR CALDWELL,m11,air force one,?,?
169,u169,MARSHALL,m11,air force one,m,1
170,u170,MITCHELL,m11,air force one,?,?
171,u171,ROSE,m11,air force one,?,?
172,u172,SECRET SERVICE AGENT,m11,air force one,?,?
173,u173,SECRETARY,m11,air force one,?,?
174,u174,SHEPHERD,m11,air force one,m,6
175,u175,SWITCHBOARD,m11,air force one,?,?
176,u176,TOWER,m11,air force one,?,?
177,u177,V.P. CHANDLER,m11,air force one,?,?
178,u178,COMMISSIONER,m12,airplane ii: the sequel,?,?
179,u179,DUNN,m12,airplane ii: the sequel,?,?
180,u180,ELAINE,m12,airplane ii: the sequel,f,2
181,u181,JIMMY,m12,airplane ii: the sequel,?,?
182,u182,JOE,m12,airplane ii: the sequel,?,?
183,u183,JOHN,m12,airplane ii: the sequel,?,?
184,u184,KRUGER,m12,airplane ii: the sequel,?,?
185,u185,MARY,m12,airplane ii: the sequel,?,?
186,u186,OVEUR,m12,airplane ii: the sequel,?,?
187,u187,PORTER,m12,airplane ii: the sequel,?,?
188,u188,RECEPTIONIST,m12,airplane ii: the sequel,?,?
189,u189,ROK,m12,airplane ii: the sequel,?,?
190,u190,RUMACK,m12,airplane ii: the sequel,?,?
191,u191,SIMON,m12,airplane ii: the sequel,m,4
192,u192,STELLA,m12,airplane ii: the sequel,?,?
193,u193,TED,m12,airplane ii: the sequel,m,1
194,u194,WIFE,m12,airplane ii: the sequel,?,?
195,u195,BERNICE,m13,airplane!,?,?
196,u196,CAREY,m13,airplane!,?,?
197,u197,DR. RUMACK,m13,airplane!,?,?
198,u198,ELAINE,m13,airplane!,f,4
199,u199,GIRL,m13,airplane!,?,?
200,u200,GUNDERSON,m13,airplane!,?,?
201,u201,JACK,m13,airplane!,?,?
202,u202,JOEY,m13,airplane!,?,?
203,u203,KRAMER,m13,airplane!,?,?
204,u204,LISA,m13,airplane!,?,?
205,u205,MILTON,m13,airplane!,?,?
206,u206,MRS. HAMMEN,m13,airplane!,?,?
207,u207,MRS. KRAMER,m13,airplane!,?,?
208,u208,MURDOCK,m13,airplane!,?,?
209,u209,OVEUR,m13,airplane!,?,?
210,u210,RANDY,m13,airplane!,?,?
211,u211,SHIRLEY,m13,airplane!,?,?
212,u212,SISTER ANGELINA,m13,airplane!,?,?
213,u213,SOLDIER,m13,airplane!,?,?
214,u214,STRIKER,m13,airplane!,m,5
215,u215,CASSANDRA,m14,alien nation,?,?
216,u216,FEDORCHUK,m14,alien nation,?,?
217,u217,HARCOURT,m14,alien nation,?,?
218,u218,JETSON,m14,alien nation,M,?
219,u219,KIPLING,m14,alien nation,?,?
220,u220,MAFFET,m14,alien nation,?,?
221,u221,O'NEAL,m14,alien nation,?,?
222,u222,OPERATOR,m14,alien nation,?,?
223,u223,PORTER,m14,alien nation,?,?
224,u224,SYKES,m14,alien nation,m,1
225,u225,TUGGLE,m14,alien nation,?,?
226,u226,WARNER,m14,alien nation,?,?
227,u227,WINTER,m14,alien nation,?,?
228,u228,APONE,m15,aliens,?,?
229,u229,BISHOP,m15,aliens,m,4
230,u230,BURKE,m15,aliens,m,5
231,u231,GORMAN,m15,aliens,?,?
232,u232,HICKS,m15,aliens,m,3
233,u233,HUDSON,m15,aliens,?,?
234,u234,LYDECKER,m15,aliens,?,?
235,u235,MED-TECH,m15,aliens,?,?
236,u236,NEWT,m15,aliens,f,2
237,u237,RIPLEY,m15,aliens,f,1
238,u238,SIMPSON,m15,aliens,?,?
239,u239,VAN LEUWEN,m15,aliens,?,?
240,u240,VASQUEZ,m15,aliens,?,?
241,u241,ALLEGRO,m16,amadeus,?,?
242,u242,ANDANTE,m16,amadeus,?,?
243,u243,ARCO,m16,amadeus,?,?
244,u244,CAVALIERI,m16,amadeus,f,6
245,u245,COLLOREDO,m16,amadeus,?,?
246,u246,COMMENDATORE,m16,amadeus,?,?
247,u247,CONSTANZE,m16,amadeus,f,3
248,u248,FIRST LADY,m16,amadeus,?,?
249,u249,FLUNKY,m16,amadeus,?,?
250,u250,FRAU SCHLUMBERG,m16,amadeus,?,?
251,u251,JOSEPH,m16,amadeus,m,7
252,u252,LEOPOLD,m16,amadeus,m,5
253,u253,LORL,m16,amadeus,f,22
254,u254,MADAME WEBER,m16,amadeus,?,?
255,u255,MOZART,m16,amadeus,m,2
256,u256,OFFICER,m16,amadeus,?,?
257,u257,OLD SALIERI,m16,amadeus,m,?
258,u258,ORSINI-ROSENBERG,m16,amadeus,?,?
259,u259,PAPAGENO,m16,amadeus,?,?
260,u260,SALIERI,m16,amadeus,m,1
261,u261,SCHIKANEDER,m16,amadeus,m,4
262,u262,SCHLUMBERG,m16,amadeus,?,?
263,u263,SECOND LADY,m16,amadeus,?,?
264,u264,SERVANT,m16,amadeus,?,?
265,u265,UGLY OLD WOMAN,m16,amadeus,?,?
266,u266,VOGLER,m16,amadeus,m,16
267,u267,VON STRACK,m16,amadeus,?,?
268,u268,VON SWIETEN,m16,amadeus,?,?
269,u269,ALEX,m17,an american werewolf in london,f,2
270,u270,BENJAMIN,m17,an american werewolf in london,?,?
271,u271,BOBBIE,m17,an american werewolf in london,?,?
272,u272,BRINGSLY,m17,an american werewolf in london,?,?
273,u273,CHESS PLAYER,m17,an american werewolf in london,?,?
274,u274,DAVID,m17,an american werewolf in london,m,1
275,u275,DR. HIRSCH,m17,an american werewolf in london,M,?
276,u276,JACK,m17,an american werewolf in london,m,3
277,u277,LT. VILLIERS,m17,an american werewolf in london,?,?
278,u278,MISS GALLAGHER,m17,an american werewolf in london,?,?
279,u279,MRS. HOBBS,m17,an american werewolf in london,?,?
280,u280,ORDERLY,m17,an american werewolf in london,?,?
281,u281,SECRETARY,m17,an american werewolf in london,?,?
282,u282,SGT. MCMANUS,m17,an american werewolf in london,?,?
283,u283,WOMAN,m17,an american werewolf in london,?,?
284,u284,BILL,m18,american madness,?,?
285,u285,CHARLIE,m18,american madness,?,?
286,u286,CLARK,m18,american madness,m,1000
287,u287,CLUETT,m18,american madness,m,5
288,u288,DICKSON,m18,american madness,m,1
289,u289,DUDE,m18,american madness,?,?
290,u290,GARDINER,m18,american madness,?,?
291,u291,GUARD,m18,american madness,?,?
292,u292,HELEN,m18,american madness,f,4
293,u293,HELEN'S VOICE,m18,american madness,?,?
294,u294,INSPECTOR,m18,american madness,?,?
295,u295,JANITOR,m18,american madness,?,?
296,u296,LADY,m18,american madness,?,?
297,u297,MATT,m18,american madness,m,2
298,u298,MIKE,m18,american madness,?,?
299,u299,MRS. DICKSON,m18,american madness,f,3
300,u300,MRS. HALLIGAN,m18,american madness,?,?
301,u301,MRS. PEMBROKE,m18,american madness,?,?
302,u302,O'BRIEN,m18,american madness,?,?
303,u303,OSCAR,m18,american madness,?,?
304,u304,SAMPSON,m18,american madness,?,?
305,u305,TELLER,m18,american madness,?,?
306,u306,BOB,m19,american outlaws,m,9
307,u307,BURLY DETECTIVE,m19,american outlaws,?,?
308,u308,COLE,m19,american outlaws,m,2
309,u309,COMANCHE TOM,m19,american outlaws,?,?
310,u310,DEPUTY,m19,american outlaws,?,?
311,u311,DOC MIMMS,m19,american outlaws,?,?
312,u312,FRANK,m19,american outlaws,m,4
313,u313,JESSE,m19,american outlaws,m,1
314,u314,JIM,m19,american outlaws,?,?
315,u315,JIMMY,m19,american outlaws,?,?
316,u316,LYLA,m19,american outlaws,?,?
317,u317,MA,m19,american outlaws,?,?
318,u318,MARSHALL,m19,american outlaws,?,?
319,u319,OLD MAN,m19,american outlaws,?,?
320,u320,PARKER,m19,american outlaws,m,11
321,u321,PASTOR,m19,american outlaws,?,?
322,u322,PINKERTON,m19,american outlaws,m,8
323,u323,RAINS,m19,american outlaws,m,6
324,u324,SHERRIFF,m19,american outlaws,?,?
325,u325,TELLER,m19,american outlaws,?,?
326,u326,ZEE,m19,american outlaws,f,3
327,u327,BATEMAN,m20,american psycho,m,1
328,u328,CARNES,m20,american psycho,?,?
329,u329,CARRUTHERS,m20,american psycho,?,?
330,u330,CHRISTIE,m20,american psycho,?,?
331,u331,COURTNEY,m20,american psycho,f,7
332,u332,DAISY,m20,american psycho,?,?
333,u333,ELIZABETH,m20,american psycho,f,12
334,u334,EVELYN,m20,american psycho,f,6
335,u335,HOMELESS MAN,m20,american psycho,m,?
336,u336,JEAN,m20,american psycho,f,5
337,u337,KIMBALL,m20,american psycho,m,10
338,u338,MAITRE D',m20,american psycho,?,?
339,u339,MRS. WOLFE,m20,american psycho,?,?
340,u340,OWEN,m20,american psycho,?,?
341,u341,PRICE,m20,american psycho,?,?
342,u342,VAN PATTEN,m20,american psycho,?,?
343,u343,VICTORIA,m20,american psycho,?,?
344,u344,ALICE,m21,antitrust,f,3
345,u345,BARTON,m21,antitrust,?,?
346,u346,BRIAN,m21,antitrust,?,?
347,u347,CYBER PUNDIT,m21,antitrust,?,?
348,u348,DANNY,m21,antitrust,?,?
349,u349,GARY,m21,antitrust,m,4
350,u350,LARRY,m21,antitrust,?,?
351,u351,LARRY KING,m21,antitrust,?,?
352,u352,LEN,m21,antitrust,?,?
353,u353,LISA,m21,antitrust,f,2
354,u354,MILO,m21,antitrust,m,1
355,u355,PHIL,m21,antitrust,?,?
356,u356,RANDY,m21,antitrust,?,?
357,u357,REDMOND,m21,antitrust,?,?
358,u358,SHROT,m21,antitrust,?,?
359,u359,TEDDY,m21,antitrust,?,?
360,u360,ALOTTA,m22,austin powers: international man of mystery,f,7
361,u361,ANDY WARHOL,m22,austin powers: international man of mystery,?,?
362,u362,AUSTIN,m22,austin powers: international man of mystery,m,1
363,u363,BASIL EXPOSITION,m22,austin powers: international man of mystery,m,3
364,u364,CLERK,m22,austin powers: international man of mystery,?,?
365,u365,COMMANDER GILMOUR,m22,austin powers: international man of mystery,?,?
366,u366,DESTRUCTACON,m22,austin powers: international man of mystery,?,?
367,u367,DR. EVIL,m22,austin powers: international man of mystery,m,1
368,u368,FRAU FARBISSINA,m22,austin powers: international man of mystery,?,?
369,u369,GUARD,m22,austin powers: international man of mystery,?,?
370,u370,MICK JAGGER,m22,austin powers: international man of mystery,?,?
371,u371,MRS. KENSINGTON,m22,austin powers: international man of mystery,?,?
372,u372,MUSTAFA,m22,austin powers: international man of mystery,?,?
373,u373,NUMBER TWO,m22,austin powers: international man of mystery,?,?
374,u374,RADAR OPERATOR,m22,austin powers: international man of mystery,?,?
375,u375,SCOTT EVIL,m22,austin powers: international man of mystery,m,6
376,u376,THERAPIST,m22,austin powers: international man of mystery,?,?
377,u377,VANESSA,m22,austin powers: international man of mystery,f,2
378,u378,BAILEY,m23,the avengers,?,?
379,u379,DR. DARLING,m23,the avengers,?,?
380,u380,EMMA,m23,the avengers,f,2
381,u381,FATHER,m23,the avengers,?,?
382,u382,INVISIBLE JONES,m23,the avengers,m,4
383,u383,MOTHER,m23,the avengers,m,5
384,u384,OLD LADY,m23,the avengers,?,?
385,u385,PORTER,m23,the avengers,?,?
386,u386,SIR AUGUST,m23,the avengers,?,?
387,u387,STEED,m23,the avengers,m,1
388,u388,VALENTINE,m23,the avengers,f,?
389,u389,VOICE,m23,the avengers,?,?
390,u390,BOBBIE,m24,bachelor party,?,?
391,u391,CHULO,m24,bachelor party,?,?
392,u392,COLE,m24,bachelor party,m,6
393,u393,DEBBIE,m24,bachelor party,f,2
394,u394,EXECUTIVE,m24,bachelor party,?,?
395,u395,GARY,m24,bachelor party,?,?
396,u396,ILENE,m24,bachelor party,?,?
397,u397,JUMBO,m24,bachelor party,?,?
398,u398,LARRY,m24,bachelor party,?,?
399,u399,MANAGER,m24,bachelor party,?,?
400,u400,MR. T,m24,bachelor party,?,?
401,u401,MR. THOMERSON,m24,bachelor party,?,?
402,u402,MRS. THOMERSON,m24,bachelor party,?,?
403,u403,O'NEILL,m24,bachelor party,m,3
404,u404,PHOEBE,m24,bachelor party,?,?
405,u405,RAJAH,m24,bachelor party,?,?
406,u406,RICK,m24,bachelor party,m,1
407,u407,RYKO,m24,bachelor party,?,?
408,u408,SISTER MARY FRANCIS,m24,bachelor party,?,?
409,u409,STAN,m24,bachelor party,?,?
410,u410,WOMAN,m24,bachelor party,?,?
411,u411,AXE,m25,backdraft,?,?
412,u412,BRIAN,m25,backdraft,m,2
413,u413,CHIEF FITZGERALD,m25,backdraft,?,?
414,u414,DENNIS,m25,backdraft,?,?
415,u415,GRINDLE,m25,backdraft,?,?
416,u416,HELEN,m25,backdraft,f,7
417,u417,JENNIFER,m25,backdraft,f,5
418,u418,RICCO,m25,backdraft,?,?
419,u419,RONALD,m25,backdraft,?,?
420,u420,SHADOW,m25,backdraft,m,3
421,u421,STEPHEN,m25,backdraft,m,1
422,u422,SWAYZAK,m25,backdraft,?,?
423,u423,TIM,m25,backdraft,?,?
424,u424,WILLY,m25,backdraft,?,?
425,u425,ARIANE,m26,bad lieutenant,f,5
426,u426,ELDERLY BLACK WOMAN,m26,bad lieutenant,?,?
427,u427,FENCE,m26,bad lieutenant,?,?
428,u428,JC,m26,bad lieutenant,?,?
429,u429,JESUS,m26,bad lieutenant,?,?
430,u430,LARGE,m26,bad lieutenant,?,?
431,u431,LITE,m26,bad lieutenant,m,14
432,u432,LT,m26,bad lieutenant,m,?
433,u433,NUN,m26,bad lieutenant,?,?
434,u434,PRIEST,m26,bad lieutenant,?,?
435,u435,1/16TH BLACK,m27,bamboozled,?,?
436,u436,AUDIENCE,m27,bamboozled,?,?
437,u437,BIG BLACK,m27,bamboozled,?,?
438,u438,CHEEBA,m27,bamboozled,?,?
439,u439,DELACROIX,m27,bamboozled,m,1
440,u440,DOT,m27,bamboozled,?,?
441,u441,DUNWITTY,m27,bamboozled,m,5
442,u442,GARY BYRD,m27,bamboozled,?,?
443,u443,HONEYCUTT,m27,bamboozled,?,?
444,u444,JUKKA,m27,bamboozled,?,?
445,u445,JUNEBUG,m27,bamboozled,m,7
446,u446,MANRAY,m27,bamboozled,?,?
447,u447,MANTAN,m27,bamboozled,m,2
448,u448,MONA,m27,bamboozled,?,?
449,u449,MYRNA,m27,bamboozled,?,?
450,u450,ORCHID,m27,bamboozled,f,10
451,u451,SLEEP 'N EAT,m27,bamboozled,M,?
452,u452,SLOAN,m27,bamboozled,f,3
453,u453,TAVIS SMILEY,m27,bamboozled,?,?
454,u454,ARMED GENTLEMAN,m28,barry lyndon,?,?
455,u455,CAPTAIN BEST,m28,barry lyndon,?,?
456,u456,CAPTAIN GALGENSTEIN,m28,barry lyndon,m,?
457,u457,CAPTAIN GROGAN,m28,barry lyndon,m,13
458,u458,CAPTAIN O'REILLY,m28,barry lyndon,?,?
459,u459,CHEVALIER,m28,barry lyndon,m,3
460,u460,COUNT,m28,barry lyndon,?,?
461,u461,COUNTESS,m28,barry lyndon,F,?
462,u462,DOROTHY,m28,barry lyndon,?,?
463,u463,HARRY,m28,barry lyndon,?,?
464,u464,HENRI,m28,barry lyndon,?,?
465,u465,LORD WEST,m28,barry lyndon,?,?
466,u466,MICHAEL,m28,barry lyndon,?,?
467,u467,MINISTER GALGENSTEIN,m28,barry lyndon,?,?
468,u468,MRS. O'REILLY,m28,barry lyndon,?,?
469,u469,NEWCOMBE,m28,barry lyndon,?,?
470,u470,PATRICK,m28,barry lyndon,?,?
471,u471,PRINCE,m28,barry lyndon,?,?
472,u472,PRUSSIAN OFFICER,m28,barry lyndon,?,?
473,u473,RODERICK,m28,barry lyndon,M,?
474,u474,SIR WILLIAM,m28,barry lyndon,?,?
475,u475,VALDEZ,m28,barry lyndon,?,?
476,u476,BARTENDER,m29,basic,?,?
477,u477,CHILDS,m29,basic,?,?
478,u478,DUNBAR,m29,basic,m,6
479,u479,HARDY,m29,basic,m,1
480,u480,KENDALL,m29,basic,m,5
481,u481,MUELLER,m29,basic,?,?
482,u482,OSBORNE,m29,basic,f,2
483,u483,PIKE,m29,basic,m,7
484,u484,SERGEANT,m29,basic,?,?
485,u485,STYLES,m29,basic,m,4
486,u486,THE CADETS,m29,basic,?,?
487,u487,WEST,m29,basic,?,?
488,u488,AMOS,m30,big fish,m,16
489,u489,BEAMEN,m30,big fish,?,?
490,u490,DON PRICE,m30,big fish,?,?
491,u491,DR. BENNETT,m30,big fish,?,?
492,u492,EDWARD,m30,big fish,M,?
493,u493,JENNY,m30,big fish,f,5
494,u494,JOSEPHINE,m30,big fish,f,8
495,u495,KARL,m30,big fish,?,?
496,u496,NORTHER WINSLOW,m30,big fish,?,?
497,u497,SANDRA,m30,big fish,f,4
498,u498,WILL,m30,big fish,m,3
499,u499,ALEXEI,m31,birthday girl,?,?
500,u500,BRANCH MANAGER,m31,birthday girl,?,?
501,u501,JOHN,m31,birthday girl,m,2
502,u502,NADIA,m31,birthday girl,f,1
503,u503,OFFICIAL,m31,birthday girl,?,?
504,u504,YURI,m31,birthday girl,m,4
505,u505,ANGELA,m32,black snake moan,f,4
506,u506,BOJO,m32,black snake moan,?,?
507,u507,BRYAN,m32,black snake moan,?,?
508,u508,ELLA MAE,m32,black snake moan,?,?
509,u509,GILL,m32,black snake moan,m,7
510,u510,JESSE,m32,black snake moan,?,?
511,u511,LAZARUS,m32,black snake moan,m,1
512,u512,LINCOLN,m32,black snake moan,?,?
513,u513,MAYELLA,m32,black snake moan,?,?
514,u514,R.L.,m32,black snake moan,M,?
515,u515,RAE,m32,black snake moan,f,2
516,u516,RONNIE,m32,black snake moan,m,3
517,u517,ROSE,m32,black snake moan,f,8
518,u518,SANDY,m32,black snake moan,?,?
519,u519,TEHRONNE,m32,black snake moan,m,6
520,u520,CHARLIE,m33,black rain,m,2
521,u521,CONNIE,m33,black rain,?,?
522,u522,ICH,m33,black rain,?,?
523,u523,JOYCE,m33,black rain,f,4
524,u524,KOBO,m33,black rain,?,?
525,u525,NICK,m33,black rain,m,1
526,u526,OHASHI,m33,black rain,m,6
527,u527,OLIVER,m33,black rain,?,?
528,u528,SUGAI,m33,black rain,?,?
529,u529,BATTY,m34,blade runner,m,2
530,u530,BRYANT,m34,blade runner,?,?
531,u531,CHEW,m34,blade runner,?,?
532,u532,DECKARD,m34,blade runner,m,1
533,u533,DECKARD'S VOICE,m34,blade runner,?,?
534,u534,ESPER,m34,blade runner,?,?
535,u535,GAFF,m34,blade runner,?,?
536,u536,HOLDEN,m34,blade runner,?,?
537,u537,LEON,m34,blade runner,?,?
538,u538,MARY,m34,blade runner,?,?
539,u539,PRIS,m34,blade runner,f,6
540,u540,RACHAEL,m34,blade runner,f,3
541,u541,SALOME,m34,blade runner,?,?
542,u542,SEBASTIAN,m34,blade runner,m,7
543,u543,TAFFEY,m34,blade runner,?,?
544,u544,TYRELL,m34,blade runner,?,?
545,u545,VOICE,m34,blade runner,?,?
546,u546,WHEELER,m34,blade runner,?,?
547,u547,ADAM,m35,blast from the past,m,1
548,u548,ARON,m35,blast from the past,?,?
549,u549,ATKINSON,m35,blast from the past,?,?
550,u550,BELLBOY,m35,blast from the past,?,?
551,u551,BUTCHER,m35,blast from the past,?,?
552,u552,BYSTANDER #1,m35,blast from the past,?,?
