Movie_Number,Movie_Name,Year_of_Release,IMDB_Rating,Number_of_Votes,Genres,rating,year,id,imdbid
m85,hellbound: hellraiser ii,1988,6.2,11273,"['drama', 'horror', 'thriller']",1,1988,5261,95294.0
m86,hellboy,2004,6.8,68619,"['action', 'adventure', 'fantasy']",1,2004,4338,167190.0
m87,hellraiser,1987,7.0,22922,['horror'],3,1987,3582,93177.0
m88,high fidelity,2000,7.6,70464,"['comedy', 'drama', 'music', 'romance']",2,2000,1006,146882.0
m89,highlander,1986,7.2,41243,"['action', 'fantasy']",3,1986,1604,91203.0
m90,his girl friday,1940,8.1,20870,"['comedy', 'drama', 'romance']",3,1940,3033,32599.0
m91,hope and glory,1987,7.4,4965,"['drama', 'war']",3,1987,7035,93209.0
m92,house of 1000 corpses,2003,5.6,27033,['horror'],3,2003,7512,251736.0
m93,human nature,2001,6.3,10017,"['comedy', 'drama']",3,2001,1459,219822.0
m95,i am legend,2007,7.1,156084,"['drama', 'sci-fi', 'thriller']",3,2007,549,480249.0
m97,independence day,1996,6.6,151698,"['action', 'adventure', 'sci-fi', 'thriller']",3,1996,444,116629.0
m98,indiana jones and the last crusade,1989,8.3,174947,"['action', 'adventure', 'thriller', 'action', 'adventure', 'fantasy']",0,1989,1049,97576.0
m99,indiana jones and the temple of doom,1984,7.5,112054,"['action', 'adventure']",0,1984,1048,87469.0
m102,intolerable cruelty,2003,6.4,36739,"['comedy', 'romance', 'crime']",3,2003,5806,138524.0
m103,it happened one night,1934,8.3,25577,"['comedy', 'romance']",3,1934,621,25316.0
m104,jfk,1991,8.0,60406,"['biography', 'drama', 'history', 'mystery', 'thriller']",3,1991,7200,102138.0
m105,jackie brown,1997,7.6,85496,"['crime', 'drama', 'thriller']",3,1997,2176,119396.0
m107,jason x,2001,4.4,18199,"['horror', 'sci-fi']",3,2001,93,211443.0
m108,jaws,1975,8.3,140982,['thriller'],3,1975,2561,73195.0
m109,juno,2007,7.9,152436,"['comedy', 'drama']",3,2007,9,467406.0
m111,kids,1995,6.8,26546,"['crime', 'drama']",3,1995,5771,113540.0
m113,krull,1983,5.9,8246,"['fantasy', 'action', 'adventure', 'sci-fi']",1,1983,6126,85811.0
m117,legally blonde,2001,6.2,44558,['comedy'],3,2001,733,250494.0
m118,legend,1985,6.2,20907,"['fantasy', 'adventure', 'romance']",3,1985,3986,89469.0
m118,legend,1985,6.2,20907,"['fantasy', 'adventure', 'romance']",3,2015,6671,3569230.0
m121,little nicky,2000,5.0,35489,"['fantasy', 'comedy', 'romance', 'animation', 'comedy', 'fantasy', 'horror']",1,2000,3471,185431.0
m123,lost highway,1997,7.6,42998,"['drama', 'horror', 'mystery', 'thriller']",1,1997,4154,116922.0
m124,lost horizon,1937,7.8,5509,"['adventure', 'drama', 'fantasy', 'mystery']",2,1937,1336,29162.0
m125,men in black,1997,7.0,121719,"['action', 'adventure', 'comedy', 'sci-fi']",1,1997,83,119654.0
m126,minority report,2002,7.7,137009,"['action', 'crime', 'mystery', 'sci-fi', 'thriller', 'action', 'animation', 'drama', 'mystery', 'sci-fi', 'thriller']",1,2002,115,181689.0
m128,malcolm x,1992,7.7,23317,"['biography', 'drama', 'history']",3,1992,4391,104797.0
m130,marty,1955,7.7,6379,"['drama', 'romance']",3,1955,4442,48356.0
m132,meet john doe,1941,7.7,4841,"['comedy', 'drama', 'romance']",3,1941,3717,33891.0
m134,metropolis,1927,8.4,40730,"['adventure', 'drama', 'sci-fi']",1,1927,1267,17136.0
m137,monkeybone,2001,4.5,8258,"['animation', 'comedy', 'fantasy', 'romance']",3,2001,3616,166276.0
m139,mr. smith goes to washington,1939,8.4,33984,['drama'],2,1939,5946,31679.0
m140,mr. deeds goes to town,1936,8.0,7594,"['comedy', 'romance']",3,1936,1992,27996.0
m143,mystery men,1999,5.9,31817,"['action', 'comedy', 'fantasy']",1,1999,4230,132347.0
m145,next friday,2000,5.4,10267,['comedy'],2,2000,7792,195945.0
m146,nick of time,1995,6.2,15945,"['crime', 'drama', 'thriller']",3,1995,7651,113972.0
m148,a nightmare on elm street,1984,7.4,47161,['horror'],3,1984,4182,87800.0
m148,a nightmare on elm street,1984,7.4,47161,['horror'],3,2010,6047,1179056.0
m149,ninotchka,1939,7.9,6951,"['comedy', 'romance']",3,1939,1259,31725.0
m151,no country for old men,2007,8.3,202649,"['crime', 'drama', 'mystery', 'thriller', 'western']",3,2007,686,477348.0
m153,"o brother, where art thou?",2000,7.8,95628,"['comedy', 'adventure', 'crime', 'music']",0,2000,3455,190590.0
m154,an officer and a gentleman,1982,6.8,16883,"['drama', 'romance']",3,1982,7244,84434.0
m155,panic room,2002,6.9,69824,['thriller'],3,2002,2508,258000.0
m162,pleasantville,1998,7.5,49669,"['comedy', 'drama', 'fantasy']",3,1998,1109,120789.0
m163,punch-drunk love,2002,7.4,50312,"['comedy', 'drama', 'romance']",1,2002,5227,272338.0
m166,raging bull,1980,8.4,91851,"['biography', 'drama', 'sport']",1,1980,1437,81398.0
m167,rear window,1954,8.7,121165,"['crime', 'mystery', 'romance', 'thriller']",3,1954,2132,47396.0
m168,rebel without a cause,1955,7.9,27791,"['drama', 'romance']",1,1955,2926,48545.0
m170,reservoir dogs,1992,8.4,217185,"['crime', 'mystery', 'thriller']",0,1992,18,105236.0
m172,scary movie 2,2001,4.7,44511,['comedy'],3,2001,6429,257106.0
m173,serial mom,1994,6.4,11077,"['comedy', 'thriller']",3,1994,6477,111127.0
m175,"sex, lies, and videotape",1989,7.1,18505,['drama'],2,1989,2065,98724.0
m177,shock treatment,1981,5.4,1884,"['comedy', 'musical']",3,1981,7732,83067.0
m178,sideways,2004,7.8,70349,"['comedy', 'drama', 'romance']",3,2004,2249,375063.0
m179,signs,2002,6.9,113119,"['drama', 'mystery', 'sci-fi', 'thriller']",1,2002,5170,286106.0
m184,slither,2006,6.6,26497,"['comedy', 'horror', 'sci-fi']",3,2006,1702,439815.0
m187,solaris,2002,6.2,33541,"['drama', 'mystery', 'romance', 'sci-fi']",1,2002,4784,307479.0
m189,spider-man,2002,7.4,169898,"['action', 'adventure', 'fantasy', 'sci-fi', 'action', 'adventure', 'sci-fi', 'thriller']",1,2002,1730,145487.0
m190,stalag 17,1953,8.2,21182,"['drama', 'war']",0,1953,1883,46359.0
m192,star trek iii: the search for spock,1984,6.5,22466,"['action', 'adventure', 'sci-fi', 'thriller']",1,1984,1304,88170.0
m193,star trek: the wrath of khan,1982,7.8,36503,"['action', 'adventure', 'sci-fi', 'thriller']",3,1982,896,84726.0
m195,star trek: insurrection,1998,6.3,26728,"['action', 'adventure', 'sci-fi', 'thriller']",3,1998,1056,120844.0
m196,star trek: first contact,1996,7.6,45429,"['action', 'adventure', 'sci-fi', 'thriller']",3,1996,3402,117731.0
m197,star trek vi: the undiscovered country,1991,7.2,23751,"['action', 'mystery', 'sci-fi', 'thriller']",2,1991,3592,102975.0
m198,star trek: nemesis,2002,6.4,28682,"['action', 'sci-fi', 'thriller']",1,2002,138,253754.0
m199,starman,1984,6.9,14204,"['adventure', 'drama', 'romance', 'sci-fi']",0,1984,5796,88172.0
m200,strange days,1995,7.1,27744,"['action', 'crime', 'drama', 'fantasy', 'music', 'mystery', 'sci-fi', 'thriller']",3,1995,675,114558.0
m202,swingers,1996,7.6,32427,"['comedy', 'drama']",2,1996,5413,117802.0
m205,taxi driver,1976,8.6,159525,"['drama', 'thriller']",1,1976,2223,75314.0
m218,thirteen days,2000,7.3,23732,"['drama', 'history', 'thriller']",1,2000,3551,146309.0
m220,top gun,1986,6.5,81087,"['action', 'drama', 'romance']",2,1986,1703,92099.0
m221,total recall,1990,7.4,71383,"['action', 'adventure', 'sci-fi', 'thriller']",1,1990,118,100802.0
m221,total recall,1990,7.4,71383,"['action', 'adventure', 'sci-fi', 'thriller']",1,2012,3535,1386703.0
m222,tremors,1990,7.1,30553,"['action', 'comedy', 'horror', 'thriller']",3,1990,1663,100814.0
m224,twin peaks: fire walk with me,1992,7.0,21274,"['drama', 'horror', 'mystery', 'thriller']",3,1992,2432,105665.0
m227,new nightmare,1994,6.3,14975,"['fantasy', 'horror', 'mystery', 'thriller']",3,1994,6029,111686.0
m229,wild at heart,1990,7.2,29388,"['crime', 'romance', 'thriller']",2,1990,2577,100935.0
m234,agnes of god,1985,6.5,3490,"['drama', 'mystery', 'thriller']",3,1985,602,88683.0
m236,alien,1979,8.5,184471,"['adventure', 'horror', 'sci-fi', 'thriller']",3,1979,13,78748.0
m238,all about eve,1950,8.5,35597,['drama'],3,1950,139,42192.0
m240,american pie,1999,6.9,107961,"['comedy', 'romance']",2,1999,2311,163651.0
m241,an american werewolf in paris,1997,4.9,10158,"['horror', 'romance', 'thriller', 'comedy']",1,1997,7675,118604.0
m242,anastasia,1997,6.6,16844,"['animation', 'adventure', 'drama', 'family', 'musical', 'animation', 'family']",3,1997,1218,118617.0
m243,annie hall,1977,8.3,66781,"['comedy', 'drama', 'romance']",3,1977,1469,75686.0
m245,antz,1998,6.8,37825,"['animation', 'adventure', 'comedy', 'family']",3,1998,8088,120587.0
m247,apocalypse now,1979,8.6,176465,"['drama', 'war']",0,1979,2227,78788.0
m248,arctic blue,1993,4.8,464,"['action', 'thriller']",1,1993,7055,106303.0
m249,as good as it gets,1997,7.8,93201,"['comedy', 'drama', 'romance']",3,1997,936,119822.0
m250,assassins,1995,6.0,23681,"['action', 'thriller', 'crime']",1,1995,4640,112401.0
m252,a walk to remember,2002,7.1,38751,"['drama', 'romance']",3,2002,5254,281358.0
m253,back to the future,1985,8.4,207376,"['adventure', 'family', 'sci-fi']",2,1985,149,88763.0
m254,badlands,1973,7.9,16753,"['crime', 'drama', 'romance', 'thriller']",0,1973,269,69762.0
m256,barton fink,1991,7.8,33119,"['drama', 'mystery', 'thriller']",1,1991,2315,101410.0
m257,basic instinct,1992,6.9,57615,"['mystery', 'romance', 'thriller']",1,1992,4940,103772.0
m258,basquiat,1996,6.7,8016,"['biography', 'drama']",2,1996,6074,115632.0
m259,batman returns,1992,6.9,79770,"['action', 'crime', 'fantasy', 'thriller', 'animation', 'crime', 'fantasy', 'action', 'thriller']",0,1992,1025,103776.0
m261,batman forever,1995,5.4,77223,"['action', 'crime', 'fantasy', 'thriller']",1,1995,1024,112462.0
m262,batman,1989,7.6,112731,"['crime', 'drama', 'thriller', 'action', 'adventure', 'crime']",1,1989,1023,96895.0
m264,beavis and butt-head do america,1996,6.6,23149,"['animation', 'adventure', 'comedy', 'crime']",1,1996,5493,115641.0
m265,beetle juice,1988,7.3,62164,"['comedy', 'fantasy']",3,1988,647,94721.0
m266,being there,1979,8.0,25085,"['drama', 'comedy']",2,1979,1699,78841.0
m267,being john malkovich,1999,7.9,115008,"['comedy', 'drama', 'fantasy', 'romance']",3,1999,917,120601.0
m268,beloved,1998/I,5.6,4014,"['drama', 'mystery']",3,1998,4400,120603.0
m271,blade ii,2002,6.6,51826,"['action', 'fantasy', 'horror', 'thriller', 'action', 'adventure', 'horror']",1,2002,2151,187738.0
m272,blade,1998,7.0,65885,"['action', 'adventure', 'fantasy', 'horror', 'thriller']",1,1998,42,120611.0
m274,blood simple.,1984,7.8,28901,"['crime', 'drama', 'thriller']",1,1984,5731,86979.0
m276,blow,2001,7.4,71334,"['biography', 'crime', 'drama']",1,2001,4934,221027.0
m277,la battaglia di algeri,1966,8.2,14339,"['drama', 'history', 'war']",1,1966,658,58946.0
m278,body of evidence,1993,4.1,6052,"['drama', 'romance', 'thriller']",3,1993,5243,106453.0
m281,bound,1996,7.5,23772,"['crime', 'drama', 'thriller']",3,1996,182,115736.0
m281,bound,1996,7.5,23772,"['crime', 'drama', 'thriller']",3,2015,6229,4145324.0
m283,brazil,1985,8.0,77350,"['drama', 'fantasy', 'sci-fi']",3,1985,880,88846.0
m285,broadcast news,1987,7.1,10559,"['comedy', 'drama', 'romance']",3,1987,5310,92699.0
m286,a bucket of blood,1959,6.8,1892,"['comedy', 'horror']",2,1959,4065,52655.0
m287,buffy the vampire slayer,1992,5.3,16206,"['horror', 'comedy', 'action']",3,1992,748,103893.0
m289,casino,1995,8.1,111223,"['biography', 'crime', 'drama']",2,1995,2220,112641.0
m290,catwoman,2004,3.2,35065,"['action', 'crime', 'fantasy']",3,2004,1027,327554.0
m291,cellular,2004,6.5,32920,"['action', 'crime', 'thriller']",3,2004,2921,337921.0
m293,charade,1963,8.0,22815,"['comedy', 'mystery', 'romance', 'thriller']",2,1963,1984,56923.0
m294,cherry falls,2000,4.8,5669,"['horror', 'mystery', 'thriller']",3,2000,4821,175526.0
m296,chinatown,1974,8.5,80698,"['crime', 'drama', 'mystery', 'thriller']",2,1974,2237,71315.0
m298,citizen kane,1941,8.6,140517,"['drama', 'mystery']",1,1941,1266,33467.0
m299,clerks.,1994,8.0,90972,['comedy'],1,1994,488,109445.0
m300,cliffhanger,1993,6.2,34880,"['action', 'adventure', 'thriller']",1,1993,3369,106582.0
m301,a clockwork orange,1971,8.5,197372,"['crime', 'drama', 'sci-fi']",1,1971,1039,66921.0
m302,collateral,2004,7.8,106866,"['crime', 'drama', 'thriller']",1,2004,2544,369339.0
m303,conspiracy theory,1997,6.5,36045,"['action', 'crime', 'mystery', 'romance', 'thriller']",2,1997,318,118883.0
m304,contact,1997,7.4,75043,"['drama', 'mystery', 'sci-fi', 'thriller']",3,1997,904,118884.0
m305,cool hand luke,1967,8.3,46514,"['crime', 'drama']",1,1967,301,61512.0
m306,copycat,1995,6.5,17335,"['crime', 'mystery', 'thriller']",3,1995,2100,112722.0
m307,crash,2004/I,8.0,174003,"['crime', 'drama']",3,1996,5551,115964.0
m307,crash,2004/I,8.0,174003,"['crime', 'drama']",3,2004,3609,375679.0
m312,cruel intentions,1999,6.7,67532,"['drama', 'romance', 'thriller']",3,1999,2617,139134.0
m315,dark city,1998,7.8,64262,"['mystery', 'sci-fi', 'thriller']",1,1998,1855,118929.0
m316,dave,1993,6.8,20807,"['comedy', 'romance']",3,1993,1133,106673.0
m317,day of the dead,1985,7.0,22746,"['horror', 'sci-fi']",0,1985,3802,88993.0
m317,day of the dead,1985,7.0,22746,"['horror', 'sci-fi']",3,2008,3128,489018.0
m318,dead poets society,1989,7.8,90842,['drama'],1,1989,2361,97165.0
m321,demolition man,1993,6.3,46318,"['action', 'crime', 'sci-fi']",0,1993,117,106697.0
m323,die hard,1988,8.3,185430,"['action', 'crime', 'thriller']",3,1988,619,95016.0
m324,dog day afternoon,1975,8.2,61120,"['crime', 'drama']",3,1975,3799,72890.0
m325,domino,2005,5.9,32949,"['action', 'crime', 'drama', 'thriller']",3,2005,2292,421054.0
m326,do the right thing,1989,7.9,27164,['drama'],2,1989,6594,97216.0
m328,dune,1984,6.5,38954,"['action', 'adventure', 'sci-fi']",3,1984,1534,87182.0
m328,dune,1984,6.5,38954,"['action', 'adventure', 'sci-fi']",3,2000,4716,142032.0
m329,ed wood,1994,8.1,75704,"['biography', 'comedy', 'drama']",3,1994,1920,109707.0
m330,edtv,1999,6.1,21865,['comedy'],1,1999,5545,131369.0
m331,election,1999,7.4,37868,"['comedy', 'drama']",3,1999,867,126886.0
m332,l.a. confidential,1997,8.4,168009,"['crime', 'drama', 'mystery', 'thriller']",1,1997,2236,119488.0
m333,enemy of the state,1998,7.2,67504,"['action', 'drama', 'thriller']",1,1998,4955,120660.0
m336,erin brockovich,2000,7.2,55641,"['biography', 'drama', 'romance']",3,2000,452,195685.0
m338,escape from the planet of the apes,1971,6.1,7754,"['sci-fi', 'thriller']",1,1971,2893,67065.0
m339,escape from l.a.,1996,5.3,23551,"['action', 'adventure', 'sci-fi', 'thriller']",1,1996,1428,116225.0
m343,face/off,1997,7.3,103386,"['action', 'crime', 'drama', 'sci-fi', 'thriller']",1,1997,5329,119094.0
m346,fantastic voyage,1966,6.8,5231,"['adventure', 'sci-fi']",0,1966,2625,60397.0
m347,fargo,1996,8.3,168176,"['crime', 'drama', 'thriller']",2,1996,1852,116282.0
m348,fight club,1999,8.8,391697,"['crime', 'drama', 'mystery', 'thriller']",1,1999,210,137523.0
m349,final destination 2,2003,6.4,36312,"['horror', 'thriller']",3,2003,2821,309593.0
m350,final destination,2000,6.8,53422,"['horror', 'thriller']",1,2000,4557,195714.0
m351,rambo: first blood part ii,1985,5.8,39147,"['action', 'adventure', 'thriller']",0,1985,6840,89880.0
m353,five easy pieces,1970,7.5,11969,['drama'],3,1970,2984,65724.0
m355,fletch,1985,6.7,17336,"['comedy', 'crime', 'mystery']",1,1985,1832,89155.0
m359,friday the 13th part iii,1982,5.1,11718,['horror'],3,1982,4573,83972.0
m362,friday the 13th part viii: jason takes manhattan,1989,3.9,10288,['horror'],3,1989,6675,97388.0
m365,gattaca,1997,7.8,72063,"['drama', 'romance', 'sci-fi', 'thriller']",1,1997,77,119177.0
m367,get carter,2000,4.8,14319,"['action', 'crime', 'drama', 'thriller']",1,1971,7518,67128.0
m368,glengarry glen ross,1992,7.9,32882,['drama'],0,1992,450,104348.0
m371,gone in sixty seconds,2000,6.0,74474,"['action', 'crime', 'thriller']",1,2000,2917,187078.0
m372,goodfellas,1990,8.8,234582,"['crime', 'drama', 'thriller']",3,1990,2211,99685.0
m373,good will hunting,1997,8.1,154419,['drama'],0,1997,623,119217.0
m375,grosse pointe blank,1997,7.4,41877,"['comedy', 'crime', 'romance', 'thriller']",3,1997,1000,119229.0
m377,hackers,1995,5.8,27009,"['action', 'crime', 'drama', 'thriller']",2,1995,97,113243.0
m379,halloween,1978,7.9,64690,"['horror', 'thriller']",3,1978,2815,77651.0
m379,halloween,1978,7.9,64690,"['horror', 'thriller']",3,2007,3655,373883.0
m379,halloween,1978,7.9,64690,"['horror', 'thriller']",3,2018,8452,1502407.0
m380,hannah and her sisters,1986,7.9,21088,"['comedy', 'drama', 'romance']",3,1986,1017,91167.0
m381,hannibal,2001,6.4,75788,"['crime', 'thriller']",3,2001,4210,212985.0
m381,hannibal,2001,6.4,75788,"['crime', 'thriller']",3,2012,4190,2243973.0
m383,heathers,1989,7.3,25236,"['comedy', 'crime']",3,1988,859,97493.0
m384,heavenly creatures,1994,7.6,27211,"['crime', 'drama', 'fantasy', 'thriller']",3,1994,567,110005.0
m386,hero,1992/I,6.3,10573,"['comedy', 'drama']",1,1992,4999,104412.0
m391,house on haunted hill,1999,5.3,23127,"['horror', 'mystery', 'thriller']",3,1959,4373,51744.0
m393,hellraiser iii: hell on earth,1992,5.1,7716,['horror'],3,1992,6397,104409.0
m394,hudson hawk,1991,5.4,22116,"['action', 'adventure', 'comedy', 'action', 'adventure', 'comedy', 'crime']",3,1991,3544,102070.0
m396,i walked with a zombie,1943,7.3,3420,['horror'],3,1943,1955,36027.0
m398,insomnia,2002/I,7.3,69635,"['crime', 'drama', 'mystery', 'thriller']",1,2002,121,278504.0
m400,i still know what you did last summer,1998,4.1,23543,"['horror', 'mystery', 'thriller']",3,1998,5844,130018.0
m401,isle of the dead,1945,6.6,1405,"['drama', 'horror', 'mystery', 'thriller']",3,1945,2004,37820.0
m403,jaws 2,1978,5.6,18995,['thriller'],2,1978,7223,77766.0
m404,jaws 3-d,1983,3.3,12839,['thriller'],3,1983,7243,85750.0
m405,jaws: the revenge,1987,2.6,15727,['thriller'],3,1987,6920,93300.0
m408,jerry maguire,1996,7.3,79706,"['comedy', 'drama', 'romance', 'sport']",2,1996,8008,116695.0
m409,jurassic park iii,2001,5.7,62564,"['action', 'adventure', 'sci-fi', 'thriller']",2,2001,6333,163025.0
m411,jurassic park,1993,7.9,153737,"['action', 'adventure', 'family', 'sci-fi', 'action', 'adventure', 'fantasy', 'sci-fi']",3,1993,109,107290.0
m412,freddy vs. jason,2003,5.8,39850,"['horror', 'thriller']",3,2003,8242,329101.0
m414,king kong,2005,7.6,134187,"['adventure', 'drama', 'romance']",0,1933,2229,24216.0
m414,king kong,2005,7.6,134187,"['adventure', 'drama', 'romance']",0,2005,706,360717.0
m415,klute,1971,7.2,6901,"['mystery', 'romance', 'thriller']",3,1971,6804,67309.0
m416,kramer vs. kramer,1979,7.7,25836,['drama'],1,1979,7645,79417.0
m421,leviathan,1989,5.3,4751,"['adventure', 'horror', 'mystery', 'sci-fi', 'thriller']",3,1989,3932,97737.0
m421,leviathan,1989,5.3,4751,"['adventure', 'horror', 'mystery', 'sci-fi', 'thriller']",3,2014,5978,2802154.0
m422,"lock, stock and two smoking barrels",1998,8.2,129117,"['crime', 'thriller']",1,1998,1668,120735.0
m423,lone star,1996,7.6,14666,"['drama', 'mystery', 'romance', 'western']",2,1996,5295,116905.0
m425,lost in translation,2003,7.9,132645,"['drama', 'romance']",3,2003,1041,335266.0
m428,magnolia,1999,8.0,123476,['drama'],1,1999,2346,175880.0
m431,manhunter,1986,7.2,21649,"['crime', 'thriller']",1,1986,6298,91474.0
m432,man on the moon,1999,7.4,49915,"['biography', 'comedy', 'drama']",1,1999,5305,125664.0
m435,meet joe black,1998,6.9,56839,"['drama', 'fantasy', 'mystery', 'romance']",1,1998,7646,119643.0
m436,memento,2000,8.7,281027,"['crime', 'drama', 'mystery', 'thriller']",1,2000,52,209144.0
m438,midnight cowboy,1969,8.0,34405,['drama'],1,1969,3406,64665.0
m439,midnight express,1978,7.6,24103,"['biography', 'crime', 'drama', 'thriller']",0,1978,3419,77928.0
m441,misery,1990,7.8,41563,['thriller'],1,1990,459,100157.0
m442,mission: impossible ii,2000,5.7,86452,"['action', 'adventure', 'thriller']",0,2000,5605,120755.0
m443,mission: impossible,1996,6.9,87677,"['action', 'adventure', 'thriller']",1,1996,445,117060.0
m444,moonstruck,1987,7.1,15879,"['comedy', 'romance', 'drama']",3,1987,2744,93565.0
m445,monty python and the holy grail,1975,8.4,157683,"['adventure', 'comedy']",2,1975,1839,71853.0
m448,mulholland dr.,2001,8.0,105859,"['drama', 'mystery', 'thriller']",3,2001,568,166924.0
m451,my girl,1991,6.4,17967,"['comedy', 'drama', 'family', 'romance']",3,1991,5265,102492.0
m453,nashville,1975,7.7,9315,"['drama', 'music']",3,1975,4517,73440.0
m454,natural born killers,1994,7.1,73047,"['action', 'crime', 'drama', 'romance', 'thriller']",3,1994,5459,110632.0
m458,never been kissed,1999,5.7,27409,"['comedy', 'drama', 'romance']",3,1999,3269,151738.0
